
acacia_boat 金合欢木船
spruce_boat 云杉木船
spruce_button 云杉木按钮
spruce_chest_boat 云杉木运输船
spruce_door 云杉木门
spruce_fence 云杉木栅栏
spruce_fence_gate 云杉木栅栏门
spruce_hanging_sign 悬挂式云杉木告示牌
spruce_log 云杉原木
spruce_pressure_plate 云杉木压力板
spruce_sign 云杉木告示牌
spruce_stairs 云杉木楼梯
spruce_trapdoor 云杉木活板门
spyglass 望远镜
squid_spawn_egg 鱿鱼刷怪蛋
stained_glass 染色玻璃
stained_glass_pane 染色玻璃板
stained_hardened_clay 染色陶瓦
stick 木棍
sticky_piston 黏性活塞
stone 石头/花岗岩/磨制花岗岩/闪长岩/磨制闪长岩/安山岩/磨制安山岩
stone_axe 石斧
stone_block_slab 平滑石头台阶/砂岩台阶/石化橡木台阶/圆石台阶/红砖台阶/石砖台阶/石英台阶/下界砖台阶
stone_block_slab2 红砂岩台阶/紫珀台阶/海晶石台阶/暗海晶石台阶/海晶石砖台阶/苔石台阶/平滑砂岩台阶/红色下界砖台阶
stone_block_slab3 末地石砖台阶/平滑红砂岩台阶/磨制安山岩台阶/安山岩台阶/闪长岩台阶/磨制闪长岩台阶/花岗岩台阶/磨制花岗岩台阶
stone_block_slab4 苔石砖台阶/平滑石英台阶/石头台阶/切制砂岩台阶/切制红砂岩台阶
stone_brick_stairs 石砖楼梯
stone_button 石头按钮
stone_hoe 石锄
stone_pickaxe 石镐
stone_pressure_plate 石头压力板
stone_shovel 石锹
stone_stairs 石头楼梯
stone_sword 石剑
stonebrick 石砖/苔石砖/裂纹石砖/雕纹石砖
stonecutter_block 切石机
stray_spawn_egg 流浪者刷怪蛋
strider_spawn_egg 炽足兽刷怪蛋
string 线
stripped_acacia_log 去皮金合欢原木
stripped_bamboo_block 去皮竹块
stripped_birch_log 去皮白桦原木
stripped_cherry_log 去皮樱花原木
stripped_cherry_wood 去皮樱花木
stripped_crimson_hyphae 去皮绯红菌核
stripped_crimson_stem 去皮绯红菌柄
stripped_dark_oak_log 去皮深色橡木原木
stripped_jungle_log 去皮丛林原木
stripped_mangrove_log 去皮红树原木
stripped_mangrove_wood 去皮红树木
stripped_oak_log 去皮橡木原木
stripped_spruce_log 去皮云杉原木
stripped_warped_hyphae 去皮诡异菌核
stripped_warped_stem 去皮诡异菌柄
structure_block 结构方块
structure_void 结构空位
sugar 糖
sugar_cane 甘蔗
suspicious_gravel 可疑的沙砾
suspicious_sand 可疑的沙子
suspicious_stew 谜之炖菜
sweet_berries 甜浆果
tadpole_bucket 蝌蚪桶
tadpole_spawn_egg 蝌蚪刷怪蛋
tallgrass 蕨/草
target 标靶
tide_armor_trim_smithing_template 潮汐盔甲纹饰锻造模板
tinted_glass 遮光玻璃
tnt TNT
tnt_minecart TNT矿车
torch 火把
torchflower 火把花
torchflower_seeds 火把花种子
totem_of_undying 不死图腾
trader_llama_spawn_egg 行商羊驼刷怪蛋
trapdoor 橡木活板门
trapped_chest 陷阱箱
trident 三叉戟
tripwire_hook 绊线钩
tropical_fish 热带鱼
tropical_fish_bucket 热带鱼桶
tropical_fish_spawn_egg 热带鱼刷怪蛋
tube_coral 管珊瑚
tuff 凝灰岩
turtle_egg 海龟蛋
turtle_helmet 海龟壳
turtle_spawn_egg 海龟刷怪蛋
twisting_vines 缠怨藤
undyed_shulker_box 潜影盒
verdant_froglight 青翠蛙明灯
vex_armor_trim_smithing_template 恼鬼盔甲纹饰锻造模板
vex_spawn_egg 恼鬼刷怪蛋
villager_spawn_egg 村民刷怪蛋
vindicator_spawn_egg 卫道士刷怪蛋
vine 藤蔓
wandering_trader_spawn_egg 流浪商人刷怪蛋
ward_armor_trim_smithing_template 监守盔甲纹饰锻造模板
warden_spawn_egg 监守者刷怪蛋
warped_button 诡异木按钮
warped_door 诡异木门
warped_fence 诡异木栅栏
warped_fence_gate 诡异木栅栏门
warped_fungus 诡异菌
warped_fungus_on_a_stick 诡异菌钓竿
warped_hanging_sign 悬挂式诡异木告示牌
warped_hyphae 诡异菌核
warped_nylium 诡异菌岩
warped_planks 诡异木板
warped_pressure_plate 诡异木压力板
warped_roots 诡异菌索
warped_sign 诡异木告示牌
warped_slab 诡异木台阶
warped_stairs 诡异木楼梯
warped_stem 诡异菌柄
warped_trapdoor 诡异木活板门
warped_wart_block 诡异疣块
water_bucket 水桶
waterlily 睡莲
waxed_copper 涂蜡铜块
waxed_cut_copper 涂蜡切制铜块
waxed_cut_copper_slab 涂蜡切制铜台阶
waxed_cut_copper_stairs 涂蜡切制铜楼梯
waxed_exposed_copper 斑驳的涂蜡铜块
waxed_exposed_cut_copper 斑驳的涂蜡切制铜块
waxed_exposed_cut_copper_slab 斑驳的涂蜡切制铜台阶
waxed_exposed_cut_copper_stairs 斑驳的涂蜡切制铜楼梯
waxed_oxidized_copper 氧化的涂蜡铜块
waxed_oxidized_cut_copper 氧化的涂蜡切制铜块
waxed_oxidized_cut_copper_slab 氧化的涂蜡切制铜台阶
waxed_oxidized_cut_copper_stairs 氧化的涂蜡切制铜楼梯
waxed_weathered_copper 锈蚀的涂蜡铜块
waxed_weathered_cut_copper 锈蚀的涂蜡切制铜块
waxed_weathered_cut_copper_slab 锈蚀的涂蜡切制铜台阶
waxed_weathered_cut_copper_stairs 锈蚀的涂蜡切制铜楼梯
wayfinder_armor_trim_smithing_template 向导盔甲纹饰锻造模板
weathered_copper 锈蚀的铜块
weathered_cut_copper 锈蚀的切制铜块
weathered_cut_copper_slab 锈蚀的切制铜台阶
weathered_cut_copper_stairs 锈蚀的切制铜楼梯
web 蜘蛛网
weeping_vines 垂泪藤
wheat 小麦
wheat_seeds 小麦种子
white_candle 白色蜡烛
white_carpet 白色地毯
white_concrete 白色混凝土
white_dye 白色染料
white_glazed_terracotta 白色带釉陶瓦
white_shulker_box 白色潜影盒
white_wool 白色羊毛
wild_armor_trim_smithing_template 荒野盔甲纹饰锻造模板
witch_spawn_egg 女巫刷怪蛋
wither_rose 凋灵玫瑰
wither_skeleton_spawn_egg 凋灵骷髅刷怪蛋
wither_spawn_egg 凋灵刷怪蛋
wolf_spawn_egg 狼刷怪蛋
wood 橡木/云杉木/白桦木/丛林木/金合欢木/深色橡木/去皮橡木/去皮云杉木/去皮白桦木/去皮丛林木/去皮金合欢木/去皮深色橡木
wooden_axe 木斧
wooden_button 橡木按钮
wooden_door 橡木门
wooden_hoe 木锄
wooden_pickaxe 木镐
wooden_pressure_plate 橡木压力板
wooden_shovel 木锹
wooden_slab 橡木台阶/云杉木台阶/白桦木台阶/丛林木台阶/金合欢木台阶/深色橡木台阶
wooden_sword 木剑
writable_book 书与笔
yellow_candle 黄色蜡烛
yellow_carpet 黄色地毯
yellow_concrete 黄色混凝土
yellow_dye 黄色染料
yellow_flower 蒲公英
yellow_glazed_terracotta 黄色带釉陶瓦
yellow_shulker_box 黄色潜影盒
yellow_wool 黄色羊毛
zoglin_spawn_egg 僵尸疣猪兽刷怪蛋
zombie_horse_spawn_egg 僵尸马刷怪蛋
zombie_pigman_spawn_egg 僵尸猪灵刷怪蛋
zombie_spawn_egg 僵尸刷怪蛋
zombie_villager_spawn_egg 僵尸村民刷怪蛋
