
ambient.basalt_deltas.additions 玄武岩三角洲：环境附加音效
mob.ravager.ambient 劫掠兽：呼噜
mob.ravager.bite 劫掠兽：撕咬
mob.ravager.celebrate 劫掠兽：欢呼
mob.ravager.death 劫掠兽：死亡
mob.ravager.hurt 劫掠兽：受伤
mob.ravager.roar 劫掠兽：咆哮
mob.ravager.step 劫掠兽：脚步声
mob.ravager.stun 劫掠兽：眩晕
mob.sheep.say 绵羊：咩~
mob.sheep.shear 绵羊：剪毛
mob.sheep.step 绵羊：行走
mob.shulker.ambient 潜影贝：窥视
mob.shulker.bullet.hit 潜影弹：爆炸
mob.shulker.close 潜影贝：闭合
mob.shulker.close.hurt 潜影贝：受伤（关闭时）
mob.shulker.death 潜影贝：死亡
mob.shulker.hurt 潜影贝：受伤
mob.shulker.open 潜影贝：打开
mob.shulker.shoot 潜影贝：射击
mob.shulker.teleport 潜影贝：传送
mob.silverfish.hit 蠹虫：受伤
mob.silverfish.kill 蠹虫：死亡
mob.silverfish.say 蠹虫：嘶嘶
mob.silverfish.step 蠹虫：行走
mob.skeleton.convert_to_stray 骷髅：转化为流浪者
mob.skeleton.death 骷髅：死亡
mob.skeleton.hurt 骷髅：受伤
mob.skeleton.say 骷髅：咯咯声
mob.skeleton.step 骷髅：行走
mob.slime.attack 史莱姆：攻击
mob.slime.big 史莱姆：挤压
mob.slime.death 史莱姆：死亡
mob.slime.hurt 史莱姆：受伤
mob.slime.jump 史莱姆：跳跃
mob.slime.small 史莱姆：挤压（小型）
mob.slime.squish 史莱姆：挤压
mob.snowgolem.death 雪傀儡：死亡
mob.snowgolem.hurt 雪傀儡：受伤
mob.snowgolem.shoot 雪傀儡：射击
mob.spider.death 蜘蛛：死亡
mob.spider.say 蜘蛛：嘶嘶
mob.spider.step 蜘蛛：爬行
mob.squid.ambient 鱿鱼：游泳
mob.squid.death 鱿鱼：死亡
mob.squid.hurt 鱿鱼：受伤
mob.squid.ink_squirt 鱿鱼：喷墨
mob.stray.ambient 流浪者：咯咯声
mob.stray.death 流浪者：死亡
mob.stray.hurt 流浪者：受伤
mob.stray.step 流浪者：行走
mob.strider.death 炽足兽：死亡
mob.strider.eat 炽足兽：进食
mob.strider.hurt 炽足兽：受伤
mob.strider.idle 炽足兽：啾啾
mob.strider.panic 炽足兽：退缩
mob.strider.step 炽足兽：行走
mob.strider.step_lava 炽足兽：在熔岩上行走
mob.strider.tempt 炽足兽：颤鸣
mob.tadpole.death 蝌蚪：死亡
mob.tadpole.hurt 蝌蚪：受伤
mob.turtle.ambient 海龟：啾啾
mob.turtle.death 海龟：死亡
mob.turtle.hurt 海龟：受伤
mob.turtle.step 海龟：爬行
mob.turtle.swim 海龟：游泳
mob.turtle_baby.born 海龟蛋：孵化
mob.turtle_baby.death 幼年海龟：死亡
mob.turtle_baby.hurt 幼年海龟：受伤
mob.turtle_baby.step 幼年海龟：爬行
mob.vex.ambient 恼鬼：恼人
mob.vex.charge 恼鬼：尖叫
mob.vex.death 恼鬼：死亡
mob.vex.hurt 恼鬼：受伤
mob.villager.death 村民：死亡
mob.villager.haggle 村民：交易
mob.villager.hit 村民：受伤
mob.villager.idle 村民：喃喃自语
mob.villager.no 村民：拒绝
mob.villager.yes 村民：同意
mob.vindicator.celebrate 卫道士：欢呼
mob.vindicator.death 卫道士：死亡
mob.vindicator.hurt 卫道士：受伤
mob.vindicator.idle 卫道士：低语
mob.wanderingtrader.death 流浪商人：死亡
mob.wanderingtrader.disappeared 流浪商人：隐身
mob.wanderingtrader.drink_milk 流浪商人：喝奶
mob.wanderingtrader.drink_potion 流浪商人：饮用药水
mob.wanderingtrader.haggle 流浪商人：交易
mob.wanderingtrader.hurt 流浪商人：受伤
mob.wanderingtrader.idle 流浪商人：喃喃自语
mob.wanderingtrader.no 流浪商人：拒绝
mob.wanderingtrader.reappeared 流浪商人：现身
mob.wanderingtrader.yes 流浪商人：同意
mob.warden.agitated 监守者：愤怒地呻吟
mob.warden.angry 监守者：狂怒
mob.warden.attack 监守者：击中
mob.warden.clicking 监守者：卷须颤动
mob.warden.dig 监守者：掘地
mob.warden.emerge 监守者：现身
mob.warden.heartbeat 监守者：心跳声
mob.warden.idle 监守者：呻吟
mob.warden.listening 监守者：察觉到某物
mob.warden.nearby_close 监守者：接近
mob.warden.nearby_closer 监守者：逼近
mob.warden.nearby_closest 监守者：迫近
mob.warden.roar 监守者：咆哮
mob.warden.sniff 监守者：嗅闻
mob.warden.step 监守者：脚步声
mob.witch.ambient 女巫：暗笑
mob.witch.celebrate 女巫：欢呼
mob.witch.death 女巫：死亡
mob.witch.drink 女巫：饮用药水
mob.witch.hurt 女巫：受伤
mob.witch.throw 女巫：投掷
mob.wither.ambient 凋灵：愤怒
mob.wither.break_block 凋灵：破坏方块
mob.wither.death 凋灵：死亡
mob.wither.hurt 凋灵：受伤
mob.wither.shoot 凋灵：攻击
mob.wither.spawn 凋灵：解放
mob.wolf.bark 狼：吠叫
mob.wolf.death 狼：死亡
mob.wolf.growl 狼：嚎叫
mob.wolf.hurt 狼：受伤
mob.wolf.panting 狼：喘息
mob.wolf.shake 狼：摇动
mob.wolf.step 狼：行走
mob.wolf.whine 狼：哀鸣
mob.zoglin.angry 僵尸疣猪兽：怒吼
mob.zoglin.attack 僵尸疣猪兽：攻击
mob.zoglin.death 僵尸疣猪兽：死亡
mob.zoglin.hurt 僵尸疣猪兽：受伤
mob.zoglin.idle 僵尸疣猪兽：咆哮
mob.zoglin.step 僵尸疣猪兽：脚步声
mob.zombie.death 僵尸：死亡
mob.zombie.hurt 僵尸：受伤
mob.zombie.remedy 僵尸村民：撕心裂肺
mob.zombie.say 僵尸：低吼
mob.zombie.step 僵尸：行走
mob.zombie.unfect 僵尸村民：哀嚎
mob.zombie.wood 门：晃动
mob.zombie.woodbreak 门：毁坏
mob.zombie_villager.death 僵尸村民：死亡
mob.zombie_villager.hurt 僵尸村民：受伤
mob.zombie_villager.say 僵尸村民：低吼
mob.zombiepig.zpig 僵尸猪灵：呼噜
mob.zombiepig.zpigangry 僵尸猪灵：愤怒地呼噜
mob.zombiepig.zpigdeath 僵尸猪灵：死亡
mob.zombiepig.zpighurt 僵尸猪灵：受伤
music.game 生存模式背景音乐
music.game.basalt_deltas 玄武岩三角洲背景音乐
music.game.creative 创造模式背景音乐
music.game.credits 制作人员界面背景音乐
music.game.crimson_forest 绯红森林背景音乐
music.game.dripstone_caves 溶洞背景音乐
music.game.end 末地背景音乐
music.game.endboss 末影龙战斗背景音乐
music.game.frozen_peaks 冰封山峰背景音乐
music.game.grove 雪林背景音乐
music.game.jagged_peaks 尖峭山峰背景音乐
music.game.lofty_peaks 尖峭山峰背景音乐
music.game.lush_caves 繁茂洞穴背景音乐
music.game.meadow 草甸背景音乐
music.game.nether 下界背景音乐
music.game.nether_wastes 下界荒地背景音乐
music.game.snowcapped_peaks 冰封山峰背景音乐
music.game.snowy_slopes 积雪山坡背景音乐
music.game.soul_sand_valley 灵魂沙峡谷背景音乐
music.game.soulsand_valley 灵魂沙峡谷背景音乐
music.game.stony_peaks 裸岩山峰背景音乐
music.game.warped_forest 诡异森林背景音乐
music.game.water 水下背景音乐
music.menu 菜单背景音乐
note.banjo 音符盒：播放班卓琴
note.bass 音符盒：播放贝斯
note.bassattack 音符盒：播放贝斯
note.bd 音符盒：播放底鼓
note.bell 音符盒：播放钟琴
note.bit 音符盒：播放方波
note.chime 音符盒：播放管钟
note.cow_bell 音符盒：播放牛铃
note.didgeridoo 音符盒：播放迪吉里杜管
note.flute 音符盒：播放长笛
note.guitar 音符盒：播放吉他
note.harp 音符盒：播放竖琴
note.hat 音符盒：播放击鼓沿
note.iron_xylophone 音符盒：播放颤音琴
note.pling 音符盒：播放电钢琴
note.snare 音符盒：播放小军鼓
note.xylophone 音符盒：播放木琴
particle.soul_escape 灵魂：逸散
pick_berries.cave_vines 发光浆果：弹出
place.amethyst_block 紫水晶块：被放置
place.amethyst_cluster 紫水晶簇：被放置
place.azalea 杜鹃花丛：被放置
place.azalea_leaves 杜鹃树叶：被放置
place.big_dripleaf 大型垂滴叶：被放置
place.calcite 方解石：被放置
place.copper 铜块：被放置
place.deepslate 深板岩：被放置
place.deepslate_bricks 深板岩砖：被放置
place.dirt_with_roots 缠根泥土：被放置
place.dripstone_block 滴水石块：被放置
place.hanging_roots 垂根：被放置
place.large_amethyst_bud 大型紫晶芽：被放置
place.medium_amethyst_bud 中型紫晶芽：被放置
place.moss 苔藓：被放置
place.pointed_dripstone 滴水石锥：被放置
place.powder_snow 细雪：被放置
place.sculk 幽匿块：被放置
place.sculk_catalyst 幽匿催发体：被放置
place.sculk_sensor 幽匿感测体：被放置
place.sculk_shrieker 幽匿尖啸体：被放置
place.small_amethyst_bud 小型紫晶芽：被放置
place.spore_blossom 孢子花：被放置
place.tuff 凝灰岩：被放置
portal.portal 传送门：呼啸
portal.travel 传送门：噪声消散
portal.trigger 传送门：噪声渐响
power.off.sculk_sensor 幽匿感测体：停息
power.on.sculk_sensor 幽匿感测体：惊动
raid.horn 不祥号角：鸣响
random.anvil_break 铁砧：被毁
random.anvil_land 铁砧：着地
random.anvil_use 铁砧：使用
random.bow 箭：被射出
random.bowhit 箭：击中
random.break 物品：损坏
random.burp 打嗝
random.chestclosed 箱子：关闭
random.chestopen 箱子：开启
random.click 按钮：咔哒
random.door_close 门：关闭
random.door_open 门：开启
random.drink 啜饮
random.drink_honey 吞咽
random.eat 进食
random.enderchestclosed 末影箱：关闭
random.enderchestopen 末影箱：开启
random.explode 爆炸
random.fizz 火：熄灭
random.fuse 嘶嘶作响
random.glass 玻璃：碎裂
random.hurt 某物：受伤
random.levelup 玩家：升级
random.orb 获得经验
random.pop 物品：被扔出
random.pop2 物品：被扔出
random.potion.brewed 酿造台：冒泡
random.screenshot 屏幕截图
random.shulkerboxclosed 潜影盒：关闭
random.shulkerboxopen 潜影盒：开启
random.splash 溅起水花
random.swim 游泳
random.toast UI：弹出
random.totem 图腾：发动
record.11 音乐唱片（C418 - 11）
record.13 音乐唱片（C418 - 13）
record.blocks 音乐唱片（C418 - blocks）
record.cat 音乐唱片（C418 - cat）
record.chirp 音乐唱片（C418 - chirp）
record.far 音乐唱片（C418 - far）
record.mall 音乐唱片（C418 - mall）
record.mellohi 音乐唱片（C418 - mellohi）
record.otherside 音乐唱片（Lena Raine - otherside）
record.pigstep 音乐唱片（Lena Raine - Pigstep）
record.stal 音乐唱片（C418 - stal）
record.strad 音乐唱片（C418 - strad）
record.wait 音乐唱片（C418 - wait）
record.ward 音乐唱片（C418 - ward）
respawn_anchor.ambient 传送门：呼啸
respawn_anchor.charge 重生锚：充能
respawn_anchor.deplete 重生锚：耗能
respawn_anchor.set_spawn 重生锚：设置出生点
scrape 斧：刮削
shriek.sculk_shrieker 幽匿尖啸体：尖啸
sign.dye.use 染料：染色
sign.ink_sac.use 墨囊：涂抹
smithing_table.use 锻造台：使用
spread.sculk 幽匿块：蔓延
step.amethyst_block 紫水晶块：踩上
step.amethyst_cluster 紫水晶簇：踩上
step.ancient_debris 远古残骸：踩上
step.azalea 杜鹃花丛：踩上
step.azalea_leaves 杜鹃树叶：踩上
step.basalt 玄武岩：踩上
step.big_dripleaf 大型垂滴叶：踩上
step.bone_block 骨块：踩上
step.calcite 方解石：踩上
step.candle 蜡烛：踩上
step.cave_vines 洞穴藤蔓：踩上
step.chain 锁链：踩上
step.cloth 布质方块：踩上
step.copper 铜块：踩上
step.coral 珊瑚：踩上
step.deepslate 深板岩：踩上
step.deepslate_bricks 深板岩砖：踩上
step.dirt_with_roots 缠根泥土：踩上
step.dripstone_block 滴水石块：踩上
step.grass 草：踩上
step.gravel 沙砾：踩上
step.hanging_roots 垂根：踩上
step.honey_block 蜂蜜块：踩上
step.ladder 梯子：踩上
step.moss 苔藓：踩上
step.nether_brick 下界砖：踩上
step.nether_gold_ore 下界金矿石：踩上
step.nether_sprouts 下界苗：踩上
step.nether_wart 下界疣：踩上
step.netherite 下界合金块：踩上
step.netherrack 下界岩：踩上
step.nylium 菌岩：踩上
step.pointed_dripstone 滴水石锥：踩上
step.powder_snow 细雪：踩上
step.roots 菌索：踩上
step.sand 沙子：踩上
step.sculk 幽匿块：踩上
step.sculk_catalyst 幽匿催发体：踩上
step.sculk_sensor 幽匿感测体：踩上
step.sculk_shrieker 幽匿尖啸体：踩上
step.sculk_vein 幽匿脉络：踩上
step.shroomlight 菌光体：踩上
step.slime 黏液块：踩上
step.snow 雪块：踩上
step.soul_sand 灵魂沙：踩上
step.soul_soil 灵魂土：踩上
step.spore_blossom 孢子花：踩上
step.stem 菌柄：踩上
step.stone 石头：踩上
step.tuff 凝灰岩：踩上
step.vines 藤蔓：踩上
step.wood 木头：踩上
tile.piston.in 活塞：缩回
tile.piston.out 活塞：伸出
tilt_down.big_dripleaf 垂滴叶：折下
tilt_up.big_dripleaf 垂滴叶：升起
ui.cartography_table.take_result 地图：绘制
ui.loom.select_pattern 织布机：选择图案
ui.loom.take_result 织布机：使用
ui.stonecutter.take_result 切石机：使用
use.ancient_debris 远古残骸：使用
use.basalt 玄武岩：使用
use.bone_block 骨块：使用
use.candle 蜡烛：使用
use.cave_vines 洞穴藤蔓：使用
use.chain 锁链：使用
use.cloth 布质方块：使用
use.copper 铜块：使用
use.coral 珊瑚：使用
use.deepslate 深板岩：使用
use.deepslate_bricks 深板岩砖：使用
use.dirt_with_roots 缠根泥土：使用
use.dripstone_block 滴水石块：使用
use.grass 草：使用
use.gravel 沙砾：使用
use.hanging_roots 垂根：使用
use.honey_block 蜂蜜块：使用
use.ladder 梯子：使用
use.moss 苔藓：使用
use.nether_brick 下界砖：使用
use.nether_gold_ore 下界金矿石：使用
use.nether_sprouts 下界苗：使用
use.nether_wart 下界疣：使用
use.netherite 下界合金块：使用
use.netherrack 下界岩：使用
use.nylium 菌岩：使用
use.pointed_dripstone 滴水石锥：使用
use.roots 菌索：使用
use.sand 沙子：使用
use.sculk_sensor 幽匿感测体：使用
use.shroomlight 菌光体：使用
use.slime 黏液块：使用
use.snow 雪块：使用
use.soul_sand 灵魂沙：使用
use.soul_soil 灵魂土：使用
use.spore_blossom 孢子花：使用
use.stem 菌柄：使用
use.stone 石头：使用
use.vines 藤蔓：使用
use.wood 木头：使用
vr.stutterturn 
